name,id,popularity,followers,genres,spotify_url
Tinsley Ellis,56LMX8mqaIhJCaxjZBM1on,41,51969,"blues, blues rock, modern blues",https://open.spotify.com/artist/56LMX8mqaIhJCaxjZBM1on
Thys,6x8tZ30aFwdl50YjETAppR,30,13638,"uk garage, breakbeat, drumstep, idm",https://open.spotify.com/artist/6x8tZ30aFwdl50YjETAppR
Boris Acket,36t4piUxo6FPMAYjgR1mvL,8,1188,,https://open.spotify.com/artist/36t4piUxo6FPMAYjgR1mvL
Portraits Of Tracy,34QizBjxVeMcA5HlZpKxxE,45,23009,,https://open.spotify.com/artist/34QizBjxVeMcA5HlZpKxxE
ENEQUIST,1M0rpHpfbv5a55N2cx83Py,3,325,,https://open.spotify.com/artist/1M0rpHpfbv5a55N2cx83Py
Maarten Vos,0ebjSec5WcmJE7r09zDEE1,40,3548,neoclassical,https://open.spotify.com/artist/0ebjSec5WcmJE7r09zDEE1
Max Frimout,31hIuJeF6510cwQBPTW4z4,0,154,,https://open.spotify.com/artist/31hIuJeF6510cwQBPTW4z4
Robert Hood,5ipQlfnpRCtyOuhYqvPvQ8,33,72799,"minimal techno, techno, acid house, dub techno, acid techno",https://open.spotify.com/artist/5ipQlfnpRCtyOuhYqvPvQ8
East End Dubs,5nw8Cj9x9XXKDuuNhl5mF7,44,34120,tech house,https://open.spotify.com/artist/5nw8Cj9x9XXKDuuNhl5mF7
Dixon Dallas,2xmmjD4GfeJ5BRueLvPqec,52,207297,,https://open.spotify.com/artist/2xmmjD4GfeJ5BRueLvPqec
Janis Zielinski,0qqVoFZdP1OB0N9FkGfJ4D,43,6141,"hard house, eurodance, trance, hypertechno",https://open.spotify.com/artist/0qqVoFZdP1OB0N9FkGfJ4D
Lennart,43AQ7km11ZWj9An55MOHgP,7,717,"italo disco, italo dance, indie dance, ebm",https://open.spotify.com/artist/43AQ7km11ZWj9An55MOHgP
Lyrae,3gAchlmGcPBgEi4kcW1SLj,0,34,,https://open.spotify.com/artist/3gAchlmGcPBgEi4kcW1SLj
Miguel de Bois,05r3zF8qX4IK93M5PQoDPH,20,1181,"indie dance, italo disco, italo dance, hard house, ebm, hi-nrg",https://open.spotify.com/artist/05r3zF8qX4IK93M5PQoDPH
Ollie Lishman,266LAiHzDxPPRJldh2CPX0,40,7424,"hard house, eurodance, hypertechno",https://open.spotify.com/artist/266LAiHzDxPPRJldh2CPX0
Queen of Saba,26rDnlXGp18EMtbgV7OwsW,37,10494,,https://open.spotify.com/artist/26rDnlXGp18EMtbgV7OwsW
Rosa Red,6dEMtpyw9UH8w6w8vDHc6s,15,832,"acid house, indie dance",https://open.spotify.com/artist/6dEMtpyw9UH8w6w8vDHc6s
Sophia Violet,3IRC7BHlsmE57kbHaGSAsV,19,754,"uk garage, bassline",https://open.spotify.com/artist/3IRC7BHlsmE57kbHaGSAsV
Victor Ruiz,0xgdNNa5mIbnJKp8AG8S4z,46,143303,"techno, minimal techno, melodic techno, acid techno",https://open.spotify.com/artist/0xgdNNa5mIbnJKp8AG8S4z
A Strange Wedding,7L5f5NGmoYwuQC6FdxF2Rl,11,2333,downtempo,https://open.spotify.com/artist/7L5f5NGmoYwuQC6FdxF2Rl
Anetha,7sJ3ngSMvvXGdVLnODPqXa,38,79043,"acid techno, techno, hard techno, tekno",https://open.spotify.com/artist/7sJ3ngSMvvXGdVLnODPqXa
Kevin de Vries,11aPF3sc8lDWNqPVInm4Zx,55,145188,"melodic techno, techno, melodic house",https://open.spotify.com/artist/11aPF3sc8lDWNqPVInm4Zx
Leonie Meijer,2yAKMlQWwUyDSDly68F3ve,35,7979,"nederpop, hardstyle",https://open.spotify.com/artist/2yAKMlQWwUyDSDly68F3ve
Mac Declos,0e9hDO31D6ykXq2hDyjZgO,33,15088,"hard techno, techno, acid techno, tekno",https://open.spotify.com/artist/0e9hDO31D6ykXq2hDyjZgO
Veldhuis & Kemper,7GGgxLSNIydPOKgmijBy5U,44,63729,nederpop,https://open.spotify.com/artist/7GGgxLSNIydPOKgmijBy5U
Chris Liebing,21444lX8gpmOX36icLmbFI,35,115485,"techno, minimal techno, acid techno, hard techno",https://open.spotify.com/artist/21444lX8gpmOX36icLmbFI
Joris Voorn,4jGpKAmwvU263l0tUh4xKU,58,212927,"melodic techno, melodic house, deep house",https://open.spotify.com/artist/4jGpKAmwvU263l0tUh4xKU
Aystar,4HpnjNnqIjwItltmZJliMy,52,110820,"grime, drill, uk drill",https://open.spotify.com/artist/4HpnjNnqIjwItltmZJliMy
